Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15,Input16,Input17,Input18,Input19,Input20,Input21,Input22,Input23,Input24,Input25,Input26,Input27,Input28,Input29,Input30,Input31,Input32,Input33,Input34,Input35,Input36,Input37,Input38,Input39,Input40,Input41,Input42,Input43,Input44,Input45,Input46,Input47,Input48,Input49,Input50,Input51,Input52,Input53,Input54,Input55,Input56,Input57,Input58,Input59,Input60,Input61,Input62,Input63,Input64,Input65,Input66,Input67,Input68,Input69,Input70,Input71,Input72,Input73,Input74,Input75,Input76,Input77,Input78,Input79,Input80,Input81,Input82,Input83,Input84,Input85,Input86,Input87,Input88,Input89,Input90,Input91,Input92,Input93,Input94,Input95,Input96,Input97,Input98,Input99,Input100,Input101,Input102,Input103,Input104,Input105,Input106,Input107,Input108,Input109,Input110,Input111,Input112,Input113,Input114,Input115,Input116,Input117,Input118,Input119,Input120,Input121,Input122,Input123,Input124,Input125,Input126,Input127,Input128,Input129,Input130,Input131,Input132,Input133,Input134,Input135,Input136,Input137,Input138,Input139,Input140,Input141,Input142,Input143,Input144,Input145,Input146,Input147,Input148,Input149,Input150,Input151,Input152,Input153,Input154,Input155,Input156,Input157,Input158,Input159,Input160,Input161,Input162,Input163,Input164,Input165,Input166,Input167,Input168,Input169,Input170,Input171,Input172,Input173,Input174,Input175,Input176,Input177,Input178,Input179,Input180,Input181,Input182,Input183,Input184,Input185,Input186,Input187,Input188,Input189,Input190,Input191,Input192,Output1,Output2,Output3,Output4
-0.984375,-0.9609375,-0.9453125,-0.921875,-0.8984375,-0.859375,-0.0234375,0.1328125,0.21875,0.21875,0.1875,0.1328125,0.0234375,-0.890625,-0.9296875,-0.9609375,-0.984375,-0.9765625,-0.9609375,-0.9375,-0.890625,-0.859375,0.2109375,0.3671875,0.3984375,0.3828125,0.3828125,0.3046875,0.21875,-0.890625,-0.9375,-0.9609375,-0.984375,-0.9765625,-0.9609375,-0.9375,-0.9140625,-0.859375,0.46875,0.5234375,0.5390625,0.5234375,0.5,0.4609375,0.3671875,-0.8828125,-0.9375,-0.953125,-0.984375,-0.9765625,-0.9609375,-0.9375,-0.9140625,-0.859375,0.65625,0.703125,0.734375,0.703125,0.640625,0.5859375,0.5078125,-0.921875,-0.96875,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.9609375,-0.9453125,-0.9140625,0.734375,0.765625,0.7890625,0.7890625,0.7734375,0.734375,0.609375,-0.9296875,-0.953125,-0.9765625,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.921875,0.765625,0.7890625,0.8046875,0.8046875,0.7890625,0.7890625,0.71875,-0.953125,-0.9765625,-0.984375,-0.9921875,-0.9921875,-0.984375,-0.984375,-0.9609375,-0.9375,0.765625,0.8125,0.8125,0.8203125,0.8046875,0.7734375,0.7421875,-0.9609375,-0.9765625,-0.9765625,-0.984375,-0.9765625,-0.984375,-0.9765625,-0.953125,-0.9375,0.765625,0.7890625,0.8046875,0.8046875,0.8046875,0.7890625,0.734375,-0.953125,-0.9765625,-0.9765625,-0.9765625,-0.9765625,-0.953125,-0.9609375,-0.9765625,-0.9453125,0.78125,0.7890625,0.7890625,0.7890625,0.7890625,0.7734375,0.7421875,-0.9453125,-0.96875,-0.9609375,-0.9765625,-0.953125,-0.953125,-0.9375,-0.953125,-0.9140625,0.7265625,0.75,0.765625,0.7734375,0.765625,0.734375,0.6484375,-0.9296875,-0.9453125,-0.96875,-0.9765625,-0.9609375,-0.953125,-0.9375,-0.921875,-0.90625,0.6640625,0.7109375,0.6953125,0.7109375,0.703125,0.640625,0.5625,-0.921875,-0.9140625,-0.9140625,-0.9765625,-0.9609375,-0.953125,-0.9375,-0.921875,-0.90625,0.578125,0.609375,0.6171875,0.6171875,0.609375,0.578125,0.453125,-0.9765625,-0.9140625,-0.9375,1.0,0.0,0.0,0.0
-0.984375,-0.9453125,-0.9375,-0.921875,-0.890625,-0.8671875,0.109375,0.1953125,0.2734375,0.28125,0.25,0.1953125,0.1171875,-0.859375,-0.921875,-0.9453125,-0.984375,-0.96875,-0.9453125,-0.9375,-0.8984375,-0.859375,0.328125,0.4296875,0.453125,0.453125,0.4453125,0.3828125,0.296875,-0.859375,-0.9296875,-0.9609375,-0.9765625,-0.9765625,-0.953125,-0.921875,-0.8984375,-0.84375,0.5234375,0.5859375,0.6171875,0.5859375,0.578125,0.5234375,0.453125,-0.890625,-0.921875,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.9453125,-0.921875,-0.875,0.640625,0.75,0.765625,0.765625,0.7265625,0.65625,0.578125,-0.90625,-0.9375,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9453125,-0.90625,0.703125,0.7890625,0.8046875,0.8203125,0.8046875,0.7734375,0.6953125,-0.9296875,-0.9765625,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9296875,0.703125,0.8203125,0.84375,0.84375,0.828125,0.8046875,0.78125,-0.9296875,-0.9765625,-0.9765625,-0.984375,-0.9921875,-0.9921875,-0.984375,-0.9609375,-0.953125,0.703125,0.8125,0.84375,0.84375,0.8359375,0.8046875,0.7734375,-0.9453125,-0.984375,-0.9609375,-0.9765625,-0.9765625,-0.984375,-0.9765625,-0.9609375,-0.953125,0.6875,0.8203125,0.8203125,0.84375,0.8203125,0.8046875,0.765625,-0.96875,-0.953125,-0.9765625,-0.9765625,-0.9765625,-0.953125,-0.9609375,-0.9765625,-0.9375,0.6640625,0.8125,0.8203125,0.8203125,0.8046875,0.8046875,0.7578125,-0.9921875,-0.9375,-0.96875,-0.9765625,-0.9609375,-0.953125,-0.953125,-0.921875,-0.921875,0.6015625,0.7734375,0.7890625,0.7890625,0.7890625,0.75,0.703125,-0.9765625,-0.9375,-0.9375,-0.96875,-0.9609375,-0.9296875,-0.9375,-0.921875,-0.9140625,0.5546875,0.7265625,0.734375,0.7421875,0.7265625,0.6953125,0.59375,-0.671875,-0.90625,-0.921875,-0.9765625,-0.9609375,-0.9375,-0.9375,-0.921875,-0.90625,0.4609375,0.6171875,0.6328125,0.6640625,0.625,0.59375,0.5,0.1015625,-0.9140625,-0.9140625,1.0,0.0,0.0,0.0
-0.984375,-0.96875,-0.9609375,-0.921875,-0.8984375,-0.8671875,-0.796875,0.3046875,0.375,0.375,0.359375,0.3046875,0.2109375,-0.859375,-0.9140625,-0.9375,-0.9609375,-0.9765625,-0.96875,-0.9453125,-0.9140625,-0.859375,-0.796875,0.5,0.5390625,0.5234375,0.515625,0.4765625,0.3828125,-0.859375,-0.90625,-0.9375,-0.984375,-0.9609375,-0.9765625,-0.9375,-0.9140625,-0.859375,-0.7734375,0.671875,0.6875,0.671875,0.6328125,0.5859375,0.5234375,-0.8828125,-0.9375,-0.9609375,-0.984375,-0.9765625,-0.9609375,-0.9609375,-0.9375,-0.890625,-0.828125,0.78125,0.7890625,0.8046875,0.78125,0.7265625,0.640625,-0.90625,-0.9453125,-0.953125,-0.9921875,-0.9921875,-0.984375,-0.984375,-0.9765625,-0.9375,-0.8671875,0.8046875,0.8203125,0.84375,0.8359375,0.8046875,0.7578125,-0.9375,-0.9609375,-0.984375,-0.9765625,-0.984375,-0.9921875,-0.984375,-0.9765625,-0.953125,-0.890625,0.8359375,0.84375,0.859375,0.84375,0.8203125,0.7890625,-0.9375,-0.9765625,-0.9765625,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.953125,-0.9296875,0.8203125,0.84375,0.8359375,0.84375,0.8359375,0.8046875,-0.9375,-0.9765625,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.9765625,-0.9609375,-0.9609375,-0.90625,0.8125,0.84375,0.8203125,0.8359375,0.8203125,0.796875,-0.9296875,-0.9609375,-0.953125,-0.9765625,-0.953125,-0.9609375,-0.953125,-0.953125,-0.9375,-0.90625,0.8046875,0.8203125,0.8046875,0.8046875,0.7890625,0.765625,-0.9296875,-0.9453125,-0.96875,-0.96875,-0.96875,-0.9375,-0.9375,-0.921875,-0.921875,-0.890625,0.78125,0.78125,0.7890625,0.7890625,0.7578125,0.7109375,-0.875,-0.921875,-0.9375,-0.9765625,-0.9375,-0.9375,-0.921875,-0.9375,-0.9140625,-0.890625,0.7265625,0.75,0.7421875,0.7265625,0.6875,0.609375,-0.875,-0.921875,-0.9140625,-0.9765625,-0.9375,-0.9375,-0.921875,-0.9140625,-0.9140625,-0.8828125,0.6015625,0.6328125,0.6484375,0.625,0.5859375,0.5,-0.9375,-0.90625,-0.9140625,1.0,0.0,0.0,0.0
-0.984375,-0.96875,-0.9375,-0.9375,-0.8984375,-0.8515625,-0.3828125,0.2265625,0.3046875,0.3203125,0.296875,0.2265625,0.1328125,-0.859375,-0.8984375,-0.96875,-0.9765625,-0.9765625,-0.9375,-0.921875,-0.8984375,-0.859375,-0.28125,0.4453125,0.484375,0.484375,0.4453125,0.3984375,0.3046875,-0.875,-0.9375,-0.96875,-0.9921875,-0.9609375,-0.9765625,-0.9375,-0.8984375,-0.859375,-0.4140625,0.6171875,0.6328125,0.625,0.5859375,0.5546875,0.4765625,-0.8984375,-0.9375,-0.9765625,-0.984375,-0.9765625,-0.984375,-0.9375,-0.9140625,-0.875,-0.46875,0.765625,0.7734375,0.7734375,0.7421875,0.671875,0.578125,-0.9140625,-0.9453125,-0.9609375,-0.9921875,-0.984375,-0.9921875,-0.9765625,-0.96875,-0.9140625,-0.5234375,0.8046875,0.828125,0.8203125,0.8203125,0.7734375,0.6953125,-0.921875,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.953125,-0.5703125,0.8203125,0.84375,0.859375,0.84375,0.8046875,0.765625,-0.953125,-0.9765625,-0.9765625,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.953125,-0.609375,0.8203125,0.8359375,0.828125,0.828125,0.8046875,0.7734375,-0.9609375,-0.9765625,-0.9765625,-0.9765625,-0.9765625,-0.9765625,-0.9765625,-0.953125,-0.953125,-0.6484375,0.8125,0.828125,0.84375,0.84375,0.8046875,0.765625,-0.9375,-0.953125,-0.9609375,-0.9765625,-0.9765625,-0.9609375,-0.953125,-0.9453125,-0.9375,-0.875,0.8046875,0.828125,0.8203125,0.8046875,0.8046875,0.7734375,-0.921875,-0.9375,-0.9453125,-0.9609375,-0.953125,-0.953125,-0.953125,-0.921875,-0.9140625,-0.890625,0.78125,0.796875,0.7890625,0.7890625,0.75,0.671875,-0.90625,-0.9375,-0.9375,-0.96875,-0.9609375,-0.9375,-0.9453125,-0.9375,-0.90625,-0.9140625,0.75,0.734375,0.75,0.7265625,0.6875,0.5859375,-0.890625,-0.90625,-0.921875,-0.9609375,-0.9609375,-0.9453125,-0.9375,-0.9140625,-0.8984375,-0.890625,0.6328125,0.6328125,0.65625,0.6328125,0.59375,0.5,-0.8828125,-0.9140625,-0.9140625,1.0,0.0,0.0,0.0
-0.984375,-0.96875,-0.9375,-0.9375,-0.8984375,-0.8515625,-0.4140625,0.2421875,0.3125,0.3125,0.296875,0.2265625,0.1640625,-0.859375,-0.9140625,-0.9609375,-0.9765625,-0.9765625,-0.9609375,-0.921875,-0.8984375,-0.859375,-0.46875,0.453125,0.5,0.4921875,0.4609375,0.4296875,0.3203125,-0.8671875,-0.9296875,-0.96875,-0.984375,-0.9765625,-0.9609375,-0.921875,-0.8984375,-0.84375,-0.671875,0.6328125,0.65625,0.625,0.609375,0.5546875,0.4765625,-0.8984375,-0.9375,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.9609375,-0.9296875,-0.875,-0.7734375,0.765625,0.7890625,0.7734375,0.7578125,0.6953125,0.5859375,-0.9140625,-0.9609375,-0.9765625,-0.984375,-0.984375,-0.984375,-0.9609375,-0.9453125,-0.9140625,-0.890625,0.8046875,0.8203125,0.828125,0.8203125,0.7890625,0.7109375,-0.9375,-0.953125,-0.9765625,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.9375,-0.9375,0.8203125,0.84375,0.8515625,0.84375,0.8203125,0.7890625,-0.953125,-0.9765625,-0.9765625,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9609375,-0.9609375,0.8125,0.84375,0.84375,0.84375,0.8203125,0.7890625,-0.9765625,-0.9765625,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.9765625,-0.9609375,-0.9375,-0.984375,0.8125,0.84375,0.828125,0.8203125,0.8046875,0.7734375,-0.9375,-0.953125,-0.9609375,-0.9765625,-0.953125,-0.953125,-0.953125,-0.953125,-0.9453125,-0.984375,0.7890625,0.8203125,0.8125,0.8046875,0.7890625,0.7421875,-0.9453125,-0.9375,-0.9609375,-0.953125,-0.9609375,-0.9296875,-0.953125,-0.921875,-0.9140625,-0.9921875,0.78125,0.7890625,0.7890625,0.7734375,0.75,0.671875,-0.90625,-0.921875,-0.9375,-0.9453125,-0.96875,-0.9375,-0.953125,-0.921875,-0.9140625,-0.984375,0.734375,0.734375,0.75,0.7265625,0.6875,0.5859375,-0.8828125,-0.9140625,-0.9140625,-0.9609375,-0.9609375,-0.953125,-0.921875,-0.9140625,-0.9140625,-0.9921875,0.6171875,0.6328125,0.640625,0.6328125,0.5859375,0.484375,-0.8671875,-0.9140625,-0.9140625,1.0,0.0,0.0,0.0
-0.9453125,-0.9375,-0.890625,-0.0390625,0.0859375,0.1953125,0.3515625,0.4296875,0.4609375,-0.6796875,-0.734375,-0.796875,-0.8515625,-0.90625,-0.9375,-0.9609375,-0.96875,-0.921875,-0.984375,0.1875,0.2890625,0.4140625,0.5390625,0.578125,0.5859375,-0.7265625,-0.7734375,-0.8125,-0.8671875,-0.90625,-0.9609375,-0.9765625,-0.9453125,-0.9375,-0.96875,0.4375,0.53125,0.65625,0.7265625,0.7578125,0.7265625,-0.75,-0.8046875,-0.8671875,-0.90625,-0.9375,-0.953125,-0.9765625,-0.9609375,-0.9375,-0.8984375,0.53125,0.65625,0.765625,0.8203125,0.8046875,0.8203125,-0.78125,-0.859375,-0.8984375,-0.9375,-0.9609375,-0.9765625,-0.984375,-0.9765625,-0.96875,-0.921875,0.59375,0.7578125,0.796875,0.859375,0.84375,0.84375,-0.890625,-0.90625,-0.9375,-0.9375,-0.9609375,-0.984375,-0.9921875,-0.9765625,-0.953125,-0.9375,0.609375,0.7890625,0.8203125,0.859375,0.859375,0.875,0.875,-0.9375,-0.96875,-0.9609375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9609375,-0.953125,-0.8984375,0.7890625,0.8359375,0.859375,0.8671875,0.859375,0.8671875,-0.9921875,-0.9609375,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.953125,-0.9375,-0.9375,-0.9140625,0.84375,0.8203125,0.8359375,0.84375,0.84375,0.859375,0.8671875,-0.9375,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.953125,-0.953125,-0.9375,-0.9140625,-0.90625,0.796875,0.8203125,0.8359375,0.84375,0.84375,0.8359375,0.8046875,-0.9296875,-0.9453125,-0.9453125,-0.9609375,-0.96875,-0.9453125,-0.921875,-0.90625,-0.8984375,-0.8671875,0.7890625,0.8046875,0.8203125,0.8046875,0.8046875,0.78125,0.671875,-0.890625,-0.90625,-0.9375,-0.96875,-0.9375,-0.921875,-0.9140625,-0.90625,-0.8828125,-0.8671875,0.7734375,0.7578125,0.765625,0.765625,0.7109375,0.578125,0.4609375,-0.90625,-0.90625,-0.9453125,-0.9375,-0.921875,-0.9140625,-0.90625,-0.8984375,-0.890625,-0.8671875,0.6796875,0.6875,0.6640625,0.609375,0.46875,0.3671875,0.2109375,-0.4609375,0.0,1.0,0.0,0.0
-0.9765625,-0.9375,-0.9140625,-0.125,0.0390625,0.1796875,0.3515625,0.4375,0.4453125,-0.671875,-0.7421875,-0.78125,-0.84375,-0.8984375,-0.9453125,-0.9765625,-0.96875,-0.9453125,-0.9140625,0.2265625,0.2734375,0.4140625,0.546875,0.6015625,0.6171875,-0.71875,-0.7734375,-0.8125,-0.890625,-0.921875,-0.9453125,-0.9765625,-0.9765625,-0.9375,-0.9140625,0.234375,0.515625,0.65625,0.734375,0.765625,0.765625,-0.8828125,-0.8125,-0.8671875,-0.9140625,-0.9375,-0.9609375,-0.9765625,-0.9765625,-0.9609375,-0.9375,-0.9765625,0.625,0.7578125,0.8046875,0.8203125,0.8203125,0.9140625,-0.84375,-0.8984375,-0.9375,-0.953125,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.9296875,-0.921875,0.7109375,0.7890625,0.8359375,0.84375,0.890625,0.8671875,-0.8828125,-0.9375,-0.953125,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.984375,-0.953125,-0.9453125,0.7890625,0.8203125,0.84375,0.8671875,0.8671875,0.890625,-0.0234375,-0.9375,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9609375,-0.953125,-0.9375,0.8203125,0.84375,0.8671875,0.8671875,0.890625,0.8671875,-0.9453125,-0.9765625,-0.9765625,-0.9765625,-0.9765625,-0.953125,-0.953125,-0.9609375,-0.953125,-0.921875,0.6328125,0.828125,0.84375,0.8671875,0.8671875,0.859375,0.8046875,-0.953125,-0.9609375,-0.953125,-0.9609375,-0.9765625,-0.9765625,-0.953125,-0.9375,-0.9375,-0.8984375,0.8125,0.828125,0.84375,0.84375,0.8203125,0.8046875,0.7890625,-0.921875,-0.9453125,-0.9375,-0.96875,-0.9453125,-0.9453125,-0.9375,-0.9140625,-0.8984375,-0.8828125,0.8046875,0.7890625,0.7890625,0.7890625,0.7578125,0.6328125,0.5234375,-0.9140625,-0.9140625,-0.9609375,-0.9375,-0.9375,-0.921875,-0.9140625,-0.890625,-0.90625,-0.8828125,0.8359375,0.75,0.7265625,0.6640625,0.578125,0.4453125,0.2890625,-0.984375,-0.9765625,-0.9375,-0.9375,-0.9453125,-0.9140625,-0.9140625,-0.8984375,-0.90625,-0.890625,-0.9921875,0.6171875,0.5390625,0.4453125,0.3203125,0.171875,0.0,0.0,1.0,0.0,0.0
-0.9453125,-0.9375,-0.8984375,-0.1640625,0.0625,0.1875,0.3359375,0.4375,0.453125,-0.6796875,-0.7265625,-0.7890625,-0.8515625,-0.90625,-0.9375,-0.9609375,-0.96875,-0.9453125,-0.9140625,0.203125,0.265625,0.3984375,0.546875,0.6015625,0.6171875,-0.703125,-0.765625,-0.8125,-0.875,-0.9140625,-0.9375,-0.9765625,-0.9765625,-0.9453125,-0.9140625,0.234375,0.5,0.6484375,0.7578125,0.765625,0.765625,-0.84375,-0.8046875,-0.859375,-0.90625,-0.9375,-0.9765625,-0.9765625,-0.9765625,-0.96875,-0.9375,-0.984375,0.6015625,0.7578125,0.8046875,0.8203125,0.8203125,0.8984375,-0.84375,-0.8984375,-0.9375,-0.953125,-0.9765625,-0.984375,-0.9765625,-0.9765625,-0.953125,-0.9140625,0.6796875,0.78125,0.8203125,0.84375,0.8671875,0.8671875,-0.8828125,-0.9296875,-0.953125,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.953125,-0.9453125,0.7734375,0.8203125,0.84375,0.8671875,0.890625,0.890625,-0.6953125,-0.953125,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.953125,-0.953125,-0.9375,0.8203125,0.859375,0.8671875,0.8671875,0.890625,0.8671875,-0.9609375,-0.9765625,-0.9765625,-0.9609375,-0.9765625,-0.9765625,-0.9609375,-0.9765625,-0.953125,-0.9375,0.734375,0.84375,0.84375,0.859375,0.8671875,0.84375,0.8203125,-0.953125,-0.9609375,-0.953125,-0.9609375,-0.9609375,-0.9609375,-0.9375,-0.9375,-0.9375,-0.90625,0.796875,0.828125,0.84375,0.84375,0.8203125,0.8046875,0.8125,-0.9375,-0.9375,-0.9453125,-0.9609375,-0.9453125,-0.9453125,-0.921875,-0.921875,-0.8984375,-0.890625,0.7890625,0.7890625,0.7890625,0.7890625,0.7578125,0.6484375,0.546875,-0.90625,-0.9140625,-0.9609375,-0.9453125,-0.9375,-0.921875,-0.9140625,-0.8984375,-0.9140625,-0.8828125,0.84375,0.75,0.7265625,0.671875,0.546875,0.4375,0.296875,-0.9375,-0.96875,-0.9453125,-0.9375,-0.9375,-0.9140625,-0.9140625,-0.8984375,-0.8984375,-0.921875,-0.9765625,0.6171875,0.546875,0.4453125,0.3125,0.171875,-0.0078125,0.0,1.0,0.0,0.0
-0.9609375,-0.9375,-0.9140625,-0.4765625,0.09375,0.2109375,0.375,0.4609375,0.484375,-0.6875,-0.734375,-0.78125,-0.859375,-0.90625,-0.9375,-0.9609375,-0.9765625,-0.9453125,-0.9140625,0.0078125,0.3125,0.4453125,0.578125,0.625,0.625,-0.6875,-0.765625,-0.8125,-0.875,-0.9140625,-0.9375,-0.9765625,-0.984375,-0.9375,-0.90625,-0.6796875,0.5234375,0.6875,0.765625,0.7890625,0.7890625,-0.7890625,-0.8046875,-0.859375,-0.8984375,-0.9375,-0.9609375,-0.9765625,-0.984375,-0.96875,-0.9375,-0.859375,0.6328125,0.765625,0.8203125,0.84375,0.84375,0.8984375,-0.8359375,-0.8984375,-0.9375,-0.9765625,-0.9765625,-0.984375,-0.9609375,-0.9765625,-0.9765625,-0.9140625,0.7265625,0.8046875,0.8359375,0.859375,0.890625,0.890625,-0.8828125,-0.9375,-0.953125,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9609375,-0.9453125,0.765625,0.8359375,0.859375,0.8671875,0.890625,0.8984375,0.7265625,-0.9453125,-0.984375,-0.984375,-0.984375,-0.984375,-0.984375,-0.9765625,-0.953125,-0.9609375,-0.9140625,0.8359375,0.859375,0.890625,0.890625,0.890625,0.890625,-0.9140625,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.953125,-0.953125,-0.953125,-0.953125,-0.9453125,-0.953125,0.8515625,0.8515625,0.8671875,0.8671875,0.8671875,0.8359375,-0.9296875,-0.9609375,-0.953125,-0.9609375,-0.96875,-0.9375,-0.9453125,-0.921875,-0.921875,-0.90625,0.7578125,0.8203125,0.8671875,0.859375,0.8203125,0.8203125,0.734375,-0.9375,-0.9453125,-0.9375,-0.9609375,-0.953125,-0.9453125,-0.921875,-0.9140625,-0.8984375,-0.8828125,0.7265625,0.8046875,0.8046875,0.7890625,0.765625,0.65625,0.53125,-0.8671875,-0.9140625,-0.9609375,-0.9453125,-0.921875,-0.921875,-0.9140625,-0.8984375,-0.890625,-0.8828125,-0.890625,0.765625,0.75,0.6796875,0.5859375,0.4453125,0.3125,-0.4453125,-0.9609375,-0.9375,-0.9375,-0.9140625,-0.9140625,-0.9140625,-0.90625,-0.8984375,-0.9140625,-0.8828125,0.6171875,0.546875,0.4453125,0.3203125,0.1796875,0.0078125,0.0,1.0,0.0,0.0
-0.96875,-0.9375,-0.9140625,-0.90625,0.0859375,0.21875,0.3671875,0.46875,0.4921875,-0.6953125,-0.71875,-0.78125,-0.8359375,-0.8984375,-0.9375,-0.9609375,-0.9609375,-0.9453125,-0.921875,-0.9765625,0.3125,0.4375,0.578125,0.625,0.625,-0.8046875,-0.75,-0.8125,-0.859375,-0.90625,-0.9375,-0.9765625,-0.9765625,-0.9375,-0.9296875,-0.875,0.5234375,0.671875,0.765625,0.7890625,0.7890625,0.5078125,-0.796875,-0.859375,-0.8828125,-0.9375,-0.9609375,-0.9765625,-0.984375,-0.9609375,-0.9375,-0.8984375,0.6171875,0.765625,0.8046875,0.8359375,0.859375,0.8203125,-0.8359375,-0.8984375,-0.9375,-0.9609375,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.953125,-0.9296875,0.7109375,0.8046875,0.8203125,0.8671875,0.859375,0.890625,-0.8828125,-0.9375,-0.953125,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9609375,-0.9375,-0.6796875,0.8203125,0.8515625,0.890625,0.8984375,0.8984375,0.9609375,-0.9453125,-0.9765625,-0.984375,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.953125,-0.9765625,-0.921875,0.84375,0.84375,0.8828125,0.8671875,0.890625,0.8828125,-0.9453125,-0.9375,-0.984375,-0.984375,-0.9765625,-0.953125,-0.953125,-0.9609375,-0.953125,-0.9296875,-0.9296875,0.828125,0.84375,0.8671875,0.8671875,0.8671875,0.84375,-0.9296875,-0.953125,-0.953125,-0.9609375,-0.96875,-0.9453125,-0.9453125,-0.9375,-0.921875,-0.8984375,-0.3828125,0.828125,0.84375,0.8359375,0.8359375,0.8046875,0.7421875,-0.9140625,-0.921875,-0.9375,-0.9609375,-0.9453125,-0.9453125,-0.921875,-0.9375,-0.90625,-0.8828125,-0.1484375,0.8046875,0.8125,0.7890625,0.765625,0.6640625,0.546875,-0.8828125,-0.9140625,-0.9765625,-0.9453125,-0.9375,-0.921875,-0.921875,-0.890625,-0.90625,-0.8828125,-0.9765625,0.765625,0.7265625,0.6953125,0.5859375,0.453125,0.2890625,0.0625,-0.96875,-0.9375,-0.9375,-0.921875,-0.9140625,-0.9140625,-0.8984375,-0.90625,-0.890625,-0.890625,0.65625,0.5625,0.4375,0.3203125,0.171875,0.0078125,0.0,1.0,0.0,0.0
-0.96875,-0.9375,-0.5234375,-0.03125,0.0859375,0.1953125,0.3515625,0.4453125,-0.765625,-0.671875,-0.7421875,-0.7890625,-0.859375,-0.8984375,-0.921875,-0.9765625,-0.9765625,-0.9375,-0.046875,0.1875,0.296875,0.421875,0.5546875,0.609375,-0.75,-0.7265625,-0.765625,-0.8125,-0.859375,-0.9140625,-0.9609375,-0.9765625,-0.9765625,-0.9375,-0.4453125,0.4375,0.53125,0.65625,0.765625,0.78125,0.6484375,-0.7421875,-0.796875,-0.8515625,-0.890625,-0.9375,-0.953125,-0.9765625,-0.9609375,-0.9453125,-0.9375,0.5234375,0.65625,0.765625,0.8203125,0.8359375,0.8359375,-0.796875,-0.8515625,-0.8984375,-0.9375,-0.96875,-0.9765625,-0.984375,-0.9765625,-0.9609375,-0.9375,0.5859375,0.734375,0.8046875,0.84375,0.859375,0.890625,-0.84375,-0.9140625,-0.9453125,-0.953125,-0.9765625,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9375,0.7109375,0.7890625,0.8359375,0.859375,0.890625,0.8984375,0.9609375,-0.9375,-0.953125,-0.984375,-0.9921875,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9453125,-0.90625,0.7890625,0.84375,0.859375,0.890625,0.890625,0.890625,-0.9296875,-0.9609375,-0.984375,-0.984375,-0.9765625,-0.9765625,-0.9609375,-0.953125,-0.921875,-0.9140625,0.4296875,0.8203125,0.84375,0.8671875,0.8671875,0.890625,0.8515625,-0.9296875,-0.9609375,-0.9765625,-0.953125,-0.953125,-0.96875,-0.9453125,-0.9375,-0.9140625,-0.8828125,0.765625,0.84375,0.84375,0.84375,0.84375,0.84375,0.8046875,-0.9375,-0.9453125,-0.9453125,-0.9453125,-0.9375,-0.9375,-0.921875,-0.9140625,-0.890625,-0.8671875,0.7734375,0.7890625,0.8203125,0.8046875,0.8046875,0.78125,0.6640625,-0.8984375,-0.9140625,-0.9140625,-0.9609375,-0.9375,-0.9375,-0.9140625,-0.890625,-0.8828125,-0.859375,0.828125,0.765625,0.765625,0.765625,0.7109375,0.5859375,0.453125,-0.8828125,-0.90625,-0.9609375,-0.9453125,-0.9375,-0.921875,-0.9140625,-0.90625,-0.890625,-0.8828125,-0.984375,0.6640625,0.6328125,0.5859375,0.4609375,0.359375,0.203125,0.109375,0.0,1.0,0.0,0.0
